STATE_PUMA,CONTAINS
06|||04407,San Bernardino County (part)
06|||04407,Victorville City (part)
06|||04500,Lancaster City
06|||04500,Los Angeles County (part)
06|||04600,Los Angeles County (part)
06|||04600,Palmdale City
06|||04700,Los Angeles County (part)
06|||04700,Santa Clarita City
06|||04800,Burbank City
06|||04800,Los Angeles City (part)
06|||04800,Los Angeles County (part)
06|||04900,Glendale City
06|||04900,Los Angeles City (part)
06|||04900,Los Angeles County (part)
06|||04900,Remainder of Los Angeles County (part)
06|||05000,Los Angeles City (part)
06|||05000,Los Angeles County (part)
06|||05000,Pasadena City
06|||05100,El Monte City
06|||05100,Los Angeles County (part)
06|||05200,Los Angeles County (part)
06|||05200,Pomona City
06|||05300,East Los Angeles CDP
06|||05300,Los Angeles County (part)
06|||05401,Los Angeles City (part)
06|||05401,Los Angeles County (part)
06|||05402,Los Angeles City (part)
06|||05402,Los Angeles County (part)
06|||05403,Los Angeles City (part)
06|||05403,Los Angeles County (part)
06|||05404,Los Angeles City (part)
06|||05404,Los Angeles County (part)
06|||05405,Los Angeles City (part)
06|||05405,Los Angeles County (part)
06|||05406,Los Angeles City (part)
06|||05406,Los Angeles County (part)
06|||05407,Los Angeles City (part)
06|||05407,Los Angeles County (part)
06|||05408,Los Angeles City (part)
06|||05408,Los Angeles County (part)
06|||05409,Los Angeles City (part)
06|||05409,Los Angeles County (part)
06|||05410,Los Angeles City (part)
06|||05410,Los Angeles County (part)
06|||05411,Beverly Hills City (part)
06|||05411,Los Angeles City (part)
06|||05411,Los Angeles County (part)
06|||05411,Remainder of Los Angeles County (part)
06|||05412,Los Angeles City (part)
06|||05412,Los Angeles County (part)
06|||05413,Los Angeles City (part)
06|||05413,Los Angeles County (part)
06|||05413,Remainder of Los Angeles County (part)
06|||05414,Los Angeles City (part)
06|||05414,Los Angeles County (part)
06|||05415,Los Angeles City (part)
06|||05415,Los Angeles County (part)
06|||05416,Los Angeles City (part)
06|||05416,Los Angeles County (part)
06|||05416,Remainder of Los Angeles County (part)
06|||05417,Los Angeles City (part)
06|||05417,Los Angeles County (part)
06|||05418,Los Angeles City (part)
06|||05418,Los Angeles County (part)
06|||05419,Los Angeles City (part)
06|||05419,Los Angeles County (part)
06|||05420,Los Angeles City (part)
06|||05420,Los Angeles County (part)
06|||05421,Los Angeles City (part)
06|||05421,Los Angeles County (part)
06|||05422,Los Angeles City (part)
06|||05422,Los Angeles County (part)
06|||05423,Los Angeles City (part)
06|||05423,Los Angeles County (part)
06|||05424,Los Angeles City (part)
06|||05424,Los Angeles County (part)
06|||05500,Inglewood City
06|||05500,Los Angeles County (part)
06|||05600,Los Angeles County (part)
06|||05600,Torrance City
06|||05701,Long Beach City (part)
06|||05701,Los Angeles County (part)
06|||05702,Long Beach City (part)
06|||05702,Los Angeles County (part)
06|||05703,Long Beach City (part)
06|||05703,Los Angeles County (part)
06|||05800,Los Angeles County (part)
06|||05800,West Covina City
06|||05900,Downey City
06|||05900,Los Angeles County (part)
06|||06000,Los Angeles County (part)
06|||06000,Norwalk City
06|||06101,Acton CDP
06|||06101,Desert View Highlands CDP
06|||06101,Duarte City (part)
06|||06101,Glendora City (part)
06|||06101,Lake Los Angeles CDP
06|||06101,La Verne City (part)
06|||06101,Littlerock CDP
06|||06101,Los Angeles County (part)
06|||06101,Monrovia City (part)
06|||06101,Quartz Hill CDP
06|||06101,Remainder of Los Angeles County (part)
06|||06101,San Dimas City (part)
06|||06101,Val Verde CDP
06|||06102,Altadena CDP
06|||06102,Arcadia City (part)
06|||06102,Duarte City (part)
06|||06102,La Canada Flintridge City
06|||06102,La Crescenta-Montrose CDP
06|||06102,Los Angeles County (part)
06|||06102,Mayflower Village CDP
06|||06102,Monrovia City (part)
06|||06102,Remainder of Los Angeles County (part)
06|||06102,Sierra Madre City
06|||06103,Alhambra City
06|||06103,Los Angeles City (part)
06|||06103,Los Angeles County (part)
06|||06103,San Marino City (part)
06|||06103,South Pasadena City
06|||06104,Arcadia City (part)
06|||06104,East Pasadena CDP
06|||06104,East San Gabriel CDP
06|||06104,Los Angeles County (part)
06|||06104,North El Monte CDP
06|||06104,Remainder of Los Angeles County (part)
06|||06104,Rosemead City (part)
06|||06104,San Gabriel City
06|||06104,San Marino City (part)
06|||06104,Temple City City
06|||06105,Azusa City
06|||06105,Baldwin Park City (part)
06|||06105,Bradbury City
06|||06105,Citrus CDP (part)
06|||06105,Duarte City (part)
06|||06105,Glendora City (part)
06|||06105,Industry City (part)
06|||06105,Irwindale City (part)
06|||06105,Los Angeles County (part)
06|||06105,Monrovia City (part)
06|||06105,Remainder of Los Angeles County (part)
06|||06105,Vincent CDP (part)
06|||06106,Charter Oak CDP (part)
06|||06106,Citrus CDP (part)
06|||06106,Claremont City
06|||06106,Covina City (part)
06|||06106,Glendora City (part)
06|||06106,La Verne City (part)
06|||06106,Los Angeles City (part)
06|||06106,Los Angeles County (part)
06|||06106,Remainder of Los Angeles County (part)
06|||06106,San Dimas City (part)
06|||06107,Charter Oak CDP (part)
06|||06107,Citrus CDP (part)
06|||06107,Covina City (part)
06|||06107,Industry City (part)
06|||06107,Irwindale City (part)
06|||06107,Los Angeles County (part)
06|||06107,Remainder of Los Angeles County (part)
06|||06107,San Dimas City (part)
06|||06107,South San Jose Hills CDP (part)
06|||06107,Vincent CDP (part)
06|||06107,Walnut City
06|||06108,Diamond Bar City
06|||06108,Hacienda Heights CDP (part)
06|||06108,Industry City (part)
06|||06108,La Habra Heights City (part)
06|||06108,Los Angeles County (part)
06|||06108,Remainder of Los Angeles County (part)
06|||06108,Rowland Heights CDP
06|||06108,South San Jose Hills CDP (part)
06|||06109,Avocado Heights CDP
06|||06109,Baldwin Park City (part)
06|||06109,Hacienda Heights CDP (part)
06|||06109,Industry City (part)
06|||06109,La Puente City
06|||06109,Los Angeles County (part)
06|||06109,Pico Rivera City (part)
06|||06109,Remainder of Los Angeles County (part)
06|||06109,Rosemead City (part)
06|||06109,South El Monte City
06|||06109,Valinda CDP
06|||06109,West Puente Valley CDP
06|||06109,Whittier City (part)
06|||06110,Hacienda Heights CDP (part)
06|||06110,Industry City (part)
06|||06110,La Habra Heights City (part)
06|||06110,Los Angeles County (part)
06|||06110,Pico Rivera City (part)
06|||06110,Remainder of Los Angeles County (part)
06|||06110,Santa Fe Springs City (part)
06|||06110,South Whittier CDP (part)
06|||06110,West Whittier-Los Nietos CDP
06|||06110,Whittier City (part)
06|||06111,Commerce City (part)
06|||06111,Los Angeles County (part)
06|||06111,Montebello City (part)
06|||06111,Pico Rivera City (part)
06|||06111,Remainder of Los Angeles County (part)
06|||06111,Rosemead City (part)
06|||06111,South San Gabriel CDP (part)
06|||06112,Los Angeles County (part)
06|||06112,Montebello City (part)
06|||06112,Monterey Park City
06|||06112,Remainder of Los Angeles County (part)
06|||06112,Rosemead City (part)
06|||06112,South San Gabriel CDP (part)
06|||06113,Bell City
06|||06113,Bell Gardens City
06|||06113,Commerce City (part)
06|||06113,Cudahy City (part)
06|||06113,Los Angeles County (part)
06|||06113,Maywood City
06|||06113,Montebello City (part)
06|||06113,Remainder of Los Angeles County (part)
06|||06113,Vernon City (part)
06|||06114,Commerce City (part)
06|||06114,Cudahy City (part)
06|||06114,Florence-Graham CDP
06|||06114,Huntington Park City
06|||06114,Los Angeles County (part)
06|||06114,Remainder of Los Angeles County (part)
06|||06114,Vernon City (part)
06|||06114,Walnut Park CDP
06|||06115,Compton City (part)
06|||06115,Los Angeles County (part)
06|||06115,Lynwood City (part)
06|||06115,Paramount City (part)
06|||06115,Remainder of Los Angeles County (part)
06|||06115,South Gate City
06|||06116,Bellflower City
06|||06116,Los Angeles County (part)
06|||06116,Paramount City (part)
06|||06116,Remainder of Los Angeles County (part)
06|||06117,Cerritos City (part)
06|||06117,East La Mirada CDP
06|||06117,La Mirada City
06|||06117,Los Angeles County (part)
06|||06117,Pico Rivera City (part)
06|||06117,Santa Fe Springs City (part)
06|||06117,South Whittier CDP (part)
06|||06117,Whittier City (part)
06|||06118,Artesia City
06|||06118,Cerritos City (part)
06|||06118,Hawaiian Gardens City
06|||06118,Lakewood City
06|||06118,Los Angeles County (part)
06|||06118,Remainder of Los Angeles County (part)
06|||06119,Carson City (part)
06|||06119,Compton City (part)
06|||06119,East Compton CDP
06|||06119,Los Angeles County (part)
06|||06119,Lynwood City (part)
06|||06119,Paramount City (part)
06|||06119,Remainder of Los Angeles County (part)
06|||06119,West Compton CDP
06|||06119,Willowbrook CDP
06|||06120,Carson City (part)
06|||06120,Compton City (part)
06|||06120,Los Angeles County (part)
06|||06120,Remainder of Los Angeles County (part)
06|||06120,West Carson CDP
06|||06121,Avalon City
06|||06121,Lomita City
06|||06121,Los Angeles County (part)
06|||06121,Palos Verdes Estates City
06|||06121,Rancho Palos Verdes City
06|||06121,Remainder of Los Angeles County (part)
06|||06121,Rolling Hills City
06|||06121,Rolling Hills Estates City
06|||06121,Signal Hill City
06|||06122,El Segundo City
06|||06122,Hermosa Beach City
06|||06122,Los Angeles County (part)
06|||06122,Manhattan Beach City
06|||06122,Redondo Beach City
06|||06122,Remainder of Los Angeles County (part)
06|||06123,Alondra Park CDP
06|||06123,Gardena City
06|||06123,Hawthorne City (part)
06|||06123,Lawndale City
06|||06123,Los Angeles County (part)
06|||06123,Remainder of Los Angeles County (part)
06|||06123,West Athens CDP (part)
06|||06123,Westmont CDP
06|||06124,Del Aire CDP
06|||06124,Hawthorne City (part)
06|||06124,Lennox CDP
06|||06124,Los Angeles County (part)
06|||06124,Remainder of Los Angeles County (part)
06|||06124,West Athens CDP (part)
06|||06125,Beverly Hills City (part)
06|||06125,Culver City City
06|||06125,Ladera Heights CDP
06|||06125,Los Angeles County (part)
06|||06125,Marina del Rey CDP
06|||06125,Remainder of Los Angeles County (part)
06|||06125,Santa Monica City
06|||06125,View Park-Windsor Hills CDP
06|||06125,West Hollywood City
06|||06126,Agoura Hills City
06|||06126,Calabasas City
06|||06126,Hidden Hills City
06|||06126,Los Angeles County (part)
06|||06126,Malibu City
06|||06126,Remainder of Los Angeles County (part)
06|||06126,San Fernando City
06|||06126,Westlake Village City
06|||06200,Oxnard City
06|||06200,Ventura County (part)
06|||06300,San Buenaventura (Ventura) City
06|||06300,Ventura County (part)
06|||06400,Simi Valley City
06|||06400,Ventura County (part)
06|||06500,Thousand Oaks City
06|||06500,Ventura County (part)
06|||06601,Channel Islands Beach CDP
06|||06601,El Rio CDP
06|||06601,Fillmore City
06|||06601,Meiners Oaks CDP
06|||06601,Mira Monte CDP
06|||06601,Oak View CDP
06|||06601,Ojai City
06|||06601,Piru CDP
06|||06601,Port Hueneme City
06|||06601,Remainder of Ventura County (part)
06|||06601,Santa Paula City
06|||06601,Ventura County (part)
06|||06602,Camarillo City
06|||06602,Casa Conejo CDP
06|||06602,Moorpark City
06|||06602,Oak Park CDP
06|||06602,Remainder of Ventura County (part)
06|||06602,Ventura County (part)
06|||06701,Buellton City
06|||06701,Guadalupe City
06|||06701,Lompoc City
06|||06701,Los Alamos CDP
06|||06701,Mission Hills CDP
06|||06701,Orcutt CDP
06|||06701,Remainder of Santa Barbara County (part)
06|||06701,Santa Barbara County (part)
06|||06701,Santa Maria City
06|||06701,Santa Ynez CDP
06|||06701,Solvang City
06|||06701,Vandenberg AFB CDP
06|||06701,Vandenberg Village CDP
06|||06702,Carpinteria City
06|||06702,Goleta CDP
06|||06702,Isla Vista CDP
06|||06702,Mission Canyon CDP
06|||06702,Montecito CDP
06|||06702,Remainder of Santa Barbara County (part)
06|||06702,Santa Barbara City
06|||06702,Santa Barbara County (part)
06|||06702,Summerland CDP
06|||06702,Toro Canyon CDP
06|||06801,Anaheim City (part)
06|||06801,Orange County (part)
06|||06801,Remainder of Orange County (part)
06|||06802,Anaheim City (part)
06|||06802,Orange County (part)
06|||06802,Placentia City (part)
06|||06802,Remainder of Orange County (part)
06|||06802,Yorba Linda City (part)
06|||06900,Costa Mesa City
06|||06900,Newport Beach City (part)
06|||06900,Orange County (part)
06|||06900,Remainder of Orange County (part)
06|||07000,Brea City (part)
06|||07000,Fullerton City
06|||07000,Orange County (part)
06|||07100,Garden Grove City
06|||07100,Orange County (part)
06|||07100,Remainder of Orange County (part)
06|||07100,Westminster City (part)
06|||07200,Huntington Beach City
06|||07200,Orange County (part)
06|||07200,Remainder of Orange County (part)
06|||07200,Westminster City (part)
06|||07300,Irvine City
06|||07300,Orange County (part)
06|||07400,Orange City
06|||07400,Orange County (part)
06|||07400,Remainder of Orange County (part)
06|||07501,Orange County (part)
06|||07501,Remainder of Orange County (part)
06|||07501,Santa Ana City (part)
06|||07502,Orange County (part)
06|||07502,Santa Ana City (part)
06|||07502,Tustin City (part)
06|||07601,Aliso Viejo CDP (part)
06|||07601,Dana Point City (part)
06|||07601,Laguna Beach City (part)
06|||07601,Laguna Hills City (part)
06|||07601,Laguna Niguel City (part)
06|||07601,Mission Viejo City (part)
06|||07601,Orange County (part)
06|||07601,Remainder of Orange County (part)
06|||07601,San Clemente City (part)
06|||07601,San Juan Capistrano City (part)
06|||07602,Coto de Caza CDP
06|||07602,Lake Forest City (part)
06|||07602,Las Flores CDP
06|||07602,Mission Viejo City (part)
06|||07602,Orange County (part)
06|||07602,Rancho Santa Margarita City
06|||07602,Remainder of Orange County (part)
06|||07602,San Clemente City (part)
06|||07602,San Juan Capistrano City (part)
06|||07603,Foothill Ranch CDP
06|||07603,Lake Forest City (part)
06|||07603,Mission Viejo City (part)
06|||07603,Orange County (part)
06|||07603,Portola Hills CDP
06|||07603,Remainder of Orange County (part)
06|||07603,Tustin City (part)
06|||07603,Tustin Foothills CDP
06|||07603,Villa Park City
06|||07603,Yorba Linda City (part)
06|||07604,Brea City (part)
06|||07604,La Habra City
06|||07604,Orange County (part)
06|||07604,Placentia City (part)
06|||07604,Remainder of Orange County (part)
06|||07604,Yorba Linda City (part)
06|||07605,Buena Park City
06|||07605,Cypress City
06|||07605,La Palma City
06|||07605,Los Alamitos City
06|||07605,Orange County (part)
06|||07605,Remainder of Orange County (part)
06|||07605,Rossmoor CDP
06|||07605,Seal Beach City
06|||07605,Stanton City (part)
06|||07605,Westminster City (part)
06|||07606,Fountain Valley City
06|||07606,Orange County (part)
06|||07606,Remainder of Orange County (part)
06|||07606,Stanton City (part)
06|||07606,Westminster City (part)
06|||07607,Aliso Viejo CDP (part)
06|||07607,Dana Point City (part)
06|||07607,Laguna Beach City (part)
06|||07607,Laguna Hills City (part)
06|||07607,Laguna Niguel City (part)
06|||07607,Laguna Woods City
06|||07607,Mission Viejo City (part)
06|||07607,Newport Beach City (part)
06|||07607,Newport Coast CDP
06|||07607,Orange County (part)
06|||07607,Remainder of Orange County (part)
06|||07607,San Joaquin Hills CDP
06|||07700,Corona City
06|||07700,Riverside County (part)
06|||07801,Riverside City (part)
06|||07801,Riverside County (part)
06|||07802,Riverside City (part)
06|||07802,Riverside County (part)
06|||07900,Moreno Valley City
06|||07900,Riverside County (part)
06|||08001,Canyon Lake City (part)
06|||08001,El Cerrito CDP
06|||08001,Glen Avon CDP
06|||08001,Highgrove CDP
06|||08001,Home Gardens CDP
06|||08001,Lake Elsinore City (part)
06|||08001,Lakeland Village CDP
06|||08001,March AFB CDP (part)
06|||08001,Mira Loma CDP
06|||08001,Norco City
06|||08001,Pedley CDP
06|||08001,Perris City (part)
06|||08001,Quail Valley CDP
06|||08001,Remainder of Riverside County (part)
06|||08001,Riverside County (part)
06|||08001,Rubidoux CDP
06|||08001,Sedco Hills CDP (part)
06|||08001,Sunnyslope CDP
06|||08001,Wildomar CDP (part)
06|||08001,Woodcrest CDP
06|||08002,Canyon Lake City (part)
06|||08002,Hemet City (part)
06|||08002,Homeland CDP (part)
06|||08002,Lake Elsinore City (part)
06|||08002,Murrieta City
06|||08002,Murrieta Hot Springs CDP
06|||08002,Perris City (part)
06|||08002,Remainder of Riverside County (part)
06|||08002,Riverside County (part)
06|||08002,Romoland CDP
06|||08002,Sedco Hills CDP (part)
06|||08002,Sun City CDP
06|||08002,Temecula City
06|||08002,Wildomar CDP (part)
06|||08002,Winchester CDP
06|||08003,Banning City
06|||08003,Beaumont City
06|||08003,Cabazon CDP
06|||08003,Calimesa City
06|||08003,Cherry Valley CDP
06|||08003,East Hemet CDP
06|||08003,Hemet City (part)
06|||08003,Homeland CDP (part)
06|||08003,Lakeview CDP
06|||08003,March AFB CDP (part)
06|||08003,Nuevo CDP
06|||08003,Perris City (part)
06|||08003,Remainder of Riverside County (part)
06|||08003,Riverside County (part)
06|||08003,San Jacinto City
06|||08003,Valle Vista CDP
06|||08004,Cathedral City City
06|||08004,Desert Hot Springs City
06|||08004,Idyllwild-Pine Cove CDP
06|||08004,Indian Wells City
06|||08004,La Quinta City (part)
06|||08004,Palm Desert City (part)
06|||08004,Palm Springs City
06|||08004,Rancho Mirage City
06|||08004,Remainder of Riverside County (part)
06|||08004,Riverside County (part)
06|||08004,Thousand Palms CDP
06|||08005,Bermuda Dunes CDP
06|||08005,Blythe City
06|||08005,Coachella City
06|||08005,East Blythe CDP
06|||08005,Indio City
06|||08005,La Quinta City (part)
06|||08005,Mecca CDP
06|||08005,Palm Desert City (part)
06|||08005,Remainder of Riverside County (part)
06|||08005,Riverside County (part)
06|||08101,Coronado City (part)
06|||08101,Remainder of San Diego County (part)
06|||08101,San Diego City (part)
06|||08101,San Diego County (part)
06|||08102,Chula Vista City (part)
06|||08102,Coronado City (part)
06|||08102,Imperial Beach City
06|||08102,Remainder of San Diego County (part)
06|||08102,San Diego City (part)
06|||08102,San Diego County (part)
06|||08103,Alpine CDP
06|||08103,Borrego Springs CDP
06|||08103,Bostonia CDP (part)
06|||08103,Chula Vista City (part)
06|||08103,Crest CDP
06|||08103,El Cajon City (part)
06|||08103,Granite Hills CDP (part)
06|||08103,Harbison Canyon CDP
06|||08103,Jamul CDP
06|||08103,Julian CDP
06|||08103,Lakeside CDP
06|||08103,Pine Valley CDP
06|||08103,Poway City (part)
06|||08103,Ramona CDP
06|||08103,Rancho San Diego CDP (part)
06|||08103,Remainder of San Diego County (part)
06|||08103,San Diego City (part)
06|||08103,San Diego Country Estates CDP
06|||08103,San Diego County (part)
06|||08103,Santee City (part)
06|||08103,Winter Gardens CDP
06|||08104,Bonita CDP (part)
06|||08104,Chula Vista City (part)
06|||08104,La Presa CDP (part)
06|||08104,National City City (part)
06|||08104,Remainder of San Diego County (part)
06|||08104,San Diego City (part)
06|||08104,San Diego County (part)
06|||08105,Bonita CDP (part)
06|||08105,Chula Vista City (part)
06|||08105,La Presa CDP (part)
06|||08105,Lemon Grove City (part)
06|||08105,National City City (part)
06|||08105,Remainder of San Diego County (part)
06|||08105,San Diego City (part)
06|||08105,San Diego County (part)
06|||08106,Casa de Oro-Mount Helix CDP (part)
06|||08106,La Mesa City (part)
06|||08106,La Presa CDP (part)
06|||08106,Lemon Grove City (part)
06|||08106,Rancho San Diego CDP (part)
06|||08106,San Diego City (part)
06|||08106,San Diego County (part)
06|||08106,Spring Valley CDP (part)
06|||08107,Lemon Grove City (part)
06|||08107,San Diego City (part)
06|||08107,San Diego County (part)
06|||08108,Bostonia CDP (part)
06|||08108,Casa de Oro-Mount Helix CDP (part)
06|||08108,El Cajon City (part)
06|||08108,Granite Hills CDP (part)
06|||08108,La Mesa City (part)
06|||08108,Lemon Grove City (part)
06|||08108,Rancho San Diego CDP (part)
06|||08108,Remainder of San Diego County (part)
06|||08108,San Diego City (part)
06|||08108,San Diego County (part)
06|||08108,Santee City (part)
06|||08108,Spring Valley CDP (part)
06|||08109,Remainder of San Diego County (part)
06|||08109,San Diego City (part)
06|||08109,San Diego County (part)
06|||08109,Santee City (part)
06|||08110,Del Mar City (part)
06|||08110,Remainder of San Diego County (part)
06|||08110,San Diego City (part)
06|||08110,San Diego County (part)
06|||08111,Del Mar City (part)
06|||08111,Remainder of San Diego County (part)
06|||08111,San Diego City (part)
06|||08111,San Diego County (part)
06|||08112,Fairbanks Ranch CDP
06|||08112,Poway City (part)
06|||08112,Remainder of San Diego County (part)
06|||08112,San Diego City (part)
06|||08112,San Diego County (part)
06|||08113,Carlsbad City (part)
06|||08113,Del Mar City (part)
06|||08113,Encinitas City
06|||08113,Lake San Marcos CDP (part)
06|||08113,Oceanside City (part)
06|||08113,Rancho Santa Fe CDP
06|||08113,Remainder of San Diego County (part)
06|||08113,San Diego City (part)
06|||08113,San Diego County (part)
06|||08113,San Marcos City (part)
06|||08113,Solana Beach City
06|||08113,Vista City (part)
06|||08114,Escondido City (part)
06|||08114,Hidden Meadows CDP
06|||08114,Rainbow CDP (part)
06|||08114,Remainder of San Diego County (part)
06|||08114,San Diego City (part)
06|||08114,San Diego County (part)
06|||08114,San Marcos City (part)
06|||08114,Valley Center CDP
06|||08115,Bonsall CDP (part)
06|||08115,Carlsbad City (part)
06|||08115,Escondido City (part)
06|||08115,Fallbrook CDP
06|||08115,Lake San Marcos CDP (part)
06|||08115,Oceanside City (part)
06|||08115,Rainbow CDP (part)
06|||08115,Remainder of San Diego County (part)
06|||08115,San Diego County (part)
06|||08115,San Marcos City (part)
06|||08115,Vista City (part)
06|||08116,Bonsall CDP (part)
06|||08116,Camp Pendleton North CDP
06|||08116,Camp Pendleton South CDP
06|||08116,Carlsbad City (part)
06|||08116,Oceanside City (part)
06|||08116,Remainder of San Diego County (part)
06|||08116,San Diego County (part)
06|||08116,Vista City (part)
06|||08200,Bombay Beach CDP
06|||08200,Brawley City
06|||08200,Calexico City
06|||08200,Calipatria City
06|||08200,Desert Shores CDP
06|||08200,El Centro City
06|||08200,Heber CDP
06|||08200,Holtville City
06|||08200,Imperial City
06|||08200,Imperial County
06|||08200,Niland CDP
06|||08200,Ocotillo CDP
06|||08200,Palo Verde CDP
06|||08200,Remainder of Imperial County
06|||08200,Salton City CDP
06|||08200,Salton Sea Beach CDP
06|||08200,Seeley CDP
06|||08200,Westmorland City
06|||08200,Winterhaven CDP
08|||00101,Battlement Mesa CDP
08|||00101,Carbondale Town
08|||00101,Collbran Town
08|||00101,Craig City
08|||00101,De Beque Town
08|||00101,Dinosaur Town
08|||00101,Estes Park Town
08|||00101,Garfield County
08|||00101,Glenwood Springs City
08|||00101,Hayden Town
08|||00101,Jackson County
08|||00101,Larimer County (part)
08|||00101,Meeker Town
08|||00101,Mesa County (part)
08|||00101,Moffat County
08|||00101,New Castle Town
08|||00101,Oak Creek Town
08|||00101,Parachute Town
08|||00101,Rangely Town
08|||00101,Red Feather Lakes CDP
08|||00101,Remainder of Garfield County
08|||00101,Remainder of Jackson County
08|||00101,Remainder of Larimer County (part)
08|||00101,Remainder of Mesa County (part)
08|||00101,Remainder of Moffat County
08|||00101,Remainder of Rio Blanco County
08|||00101,Remainder of Routt County
08|||00101,Rifle City
08|||00101,Rio Blanco County
08|||00101,Routt County
08|||00101,Silt Town
08|||00101,Steamboat Springs City
08|||00101,Walden Town
08|||00101,Yampa Town
08|||00102,Berthoud Town (part)
08|||00102,Campion CDP
08|||00102,Laporte CDP
08|||00102,Larimer County (part)
08|||00102,Loveland City
08|||00102,Remainder of Larimer County (part)
08|||00102,Timnath Town
08|||00102,Wellington Town
08|||00102,Windsor Town (part)
08|||00103,Clifton CDP
08|||00103,Fruita City
08|||00103,Fruitvale CDP
08|||00103,Grand Junction City
08|||00103,Mesa County (part)
08|||00103,Orchard Mesa CDP
08|||00103,Palisade Town
08|||00103,Redlands CDP
08|||00103,Remainder of Mesa County (part)
08|||00200,Fort Collins City
08|||00200,Larimer County (part)
08|||00300,Aristocrat Ranchettes CDP
08|||00300,Ault Town
08|||00300,Berthoud Town (part)
08|||00300,Brighton City (part)
08|||00300,Broomfield City (part)
08|||00300,Dacono City
08|||00300,Eaton Town
08|||00300,Erie Town (part)
08|||00300,Evans City
08|||00300,Firestone Town
08|||00300,Fort Lupton City
08|||00300,Frederick Town
08|||00300,Garden City Town
08|||00300,Gilcrest Town
08|||00300,Greeley City
08|||00300,Grover Town
08|||00300,Hudson Town
08|||00300,Johnstown Town
08|||00300,Keenesburg Town
08|||00300,Kersey Town
08|||00300,La Salle Town
08|||00300,Lochbuie Town
08|||00300,Longmont City (part)
08|||00300,Mead Town
08|||00300,Milliken Town
08|||00300,Northglenn City (part)
08|||00300,Nunn Town
08|||00300,Pierce Town
08|||00300,Platteville Town
08|||00300,Raymer Town
08|||00300,Remainder of Weld County
08|||00300,Severance Town
08|||00300,Thornton City (part)
08|||00300,Weld County
08|||00300,Windsor Town (part)
08|||00400,Akron Town
08|||00400,Arriba Town
08|||00400,Atwood CDP
08|||00400,Bent County
08|||00400,Bethune Town
08|||00400,Brush City
08|||00400,Burlington City
08|||00400,Cheyenne County
08|||00400,Cheyenne Wells Town
08|||00400,Crook Town
08|||00400,Crowley County
08|||00400,Crowley Town
08|||00400,Eads Town
08|||00400,Eckley Town
08|||00400,Elbert County
08|||00400,Elizabeth Town
08|||00400,Flagler Town
08|||00400,Fleming Town
08|||00400,Fort Morgan City
08|||00400,Genoa Town
08|||00400,Granada Town
08|||00400,Hartman Town
08|||00400,Haswell Town
08|||00400,Haxtun Town
08|||00400,Hillrose Town
08|||00400,Holly Town
08|||00400,Holyoke City
08|||00400,Hugo Town
08|||00400,Iliff Town
08|||00400,Julesburg Town
08|||00400,Kiowa County
08|||00400,Kiowa Town
08|||00400,Kit Carson County
08|||00400,Kit Carson Town
08|||00400,Lamar City
08|||00400,Las Animas City
08|||00400,Limon Town
08|||00400,Lincoln County
08|||00400,Logan County
08|||00400,Log Lane Village Town
08|||00400,Merino Town
08|||00400,Morgan County
08|||00400,Olney Springs Town
08|||00400,Ordway Town
08|||00400,Otis Town
08|||00400,Ovid Town
08|||00400,Padroni CDP
08|||00400,Paoli Town
08|||00400,Peetz Town
08|||00400,Phillips County
08|||00400,Ponderosa Park CDP
08|||00400,Prowers County
08|||00400,Remainder of Bent County
08|||00400,Remainder of Cheyenne County
08|||00400,Remainder of Crowley County
08|||00400,Remainder of Elbert County
08|||00400,Remainder of Kiowa County
08|||00400,Remainder of Kit Carson County
08|||00400,Remainder of Lincoln County
08|||00400,Remainder of Logan County
08|||00400,Remainder of Morgan County
08|||00400,Remainder of Phillips County
08|||00400,Remainder of Prowers County
08|||00400,Remainder of Sedgwick County
08|||00400,Remainder of Washington County
08|||00400,Remainder of Yuma County
08|||00400,Sedgwick County
08|||00400,Sedgwick Town
08|||00400,Seibert Town
08|||00400,Sheridan Lake Town
08|||00400,Simla Town
08|||00400,Sterling City
08|||00400,Stratton Town
08|||00400,Sugar City Town
08|||00400,Vona Town
08|||00400,Washington County
08|||00400,Wiggins Town
08|||00400,Wiley Town
08|||00400,Wray City
08|||00400,Yuma City
08|||00400,Yuma County
08|||00501,Aguilar Town
08|||00501,Alamosa City
08|||00501,Alamosa County
08|||00501,Alamosa East CDP
08|||00501,Antonito Town
08|||00501,Avondale CDP
08|||00501,Baca County
08|||00501,Beulah Valley CDP (part)
08|||00501,Blanca Town
08|||00501,Bonanza Town
08|||00501,Branson Town
08|||00501,Campo Town
08|||00501,Center Town (part)
08|||00501,Cheraw Town
08|||00501,Cokedale Town
08|||00501,Colorado City CDP
08|||00501,Conejos County
08|||00501,Costilla County
08|||00501,Crestone Town
08|||00501,Del Norte Town
08|||00501,Fort Garland CDP
08|||00501,Fowler Town
08|||00501,Hooper Town
08|||00501,Huerfano County
08|||00501,Kim Town
08|||00501,La Jara Town
08|||00501,La Junta City
08|||00501,Las Animas County
08|||00501,La Veta Town
08|||00501,Manassa Town
08|||00501,Manzanola Town
08|||00501,Moffat Town
08|||00501,Monte Vista City
08|||00501,Otero County
08|||00501,Pritchett Town
08|||00501,Pueblo County (part)
08|||00501,Remainder of Alamosa County
08|||00501,Remainder of Baca County
08|||00501,Remainder of Conejos County
