STATE_PUMA,CONTAINS
01|||00800,Oneonta City
01|||00800,Parrish Town
01|||00800,Pell City City
01|||00800,Ragland Town
01|||00800,Remainder of Blount County
01|||00800,Remainder of St. Clair County
01|||00800,Remainder of Walker County
01|||00800,Riverside Town
01|||00800,Rosa Town
01|||00800,Sipsey Town
01|||00800,Smoke Rise CDP
01|||00800,Snead Town
01|||00800,Springville Town
01|||00800,St. Clair County
01|||00800,Steele Town
01|||00800,Sumiton City (part)
01|||00800,Susan Moore Town
01|||00800,Trussville City (part)
01|||00800,Vincent Town (part)
01|||00800,Walker County
01|||00800,Warrior City (part)
01|||00901,Birmingham City (part)
01|||00901,Fultondale City (part)
01|||00901,Irondale City (part)
01|||00901,Jefferson County (part)
01|||00901,Mountain Brook City (part)
01|||00901,Remainder of Jefferson County (part)
01|||00901,Tarrant City (part)
01|||00902,Bessemer City (part)
01|||00902,Birmingham City (part)
01|||00902,Brighton City (part)
01|||00902,Fairfield City (part)
01|||00902,Forestdale CDP (part)
01|||00902,Homewood City (part)
01|||00902,Jefferson County (part)
01|||00902,Lipscomb City (part)
01|||00902,McDonald Chapel CDP (part)
01|||00902,Midfield City (part)
01|||00902,Remainder of Jefferson County (part)
01|||00903,Bessemer City (part)
01|||00903,Birmingham City (part)
01|||00903,Cahaba Heights CDP
01|||00903,Homewood City (part)
01|||00903,Hoover City (part)
01|||00903,Irondale City (part)
01|||00903,Jefferson County (part)
01|||00903,Leeds City (part)
01|||00903,Mountain Brook City (part)
01|||00903,Remainder of Jefferson County (part)
01|||00903,Vestavia Hills City (part)
01|||00904,Adamsville City (part)
01|||00904,Argo Town (part)
01|||00904,Birmingham City (part)
01|||00904,Brookside Town
01|||00904,Cardiff Town
01|||00904,Center Point CDP
01|||00904,Chalkville CDP
01|||00904,Clay CDP
01|||00904,County Line Town (part)
01|||00904,Forestdale CDP (part)
01|||00904,Fultondale City (part)
01|||00904,Gardendale City
01|||00904,Grayson Valley CDP
01|||00904,Graysville City
01|||00904,Irondale City (part)
01|||00904,Jefferson County (part)
01|||00904,Kimberly Town
01|||00904,Leeds City (part)
01|||00904,Maytown Town (part)
01|||00904,Morris Town
01|||00904,Mount Olive CDP
01|||00904,Pinson CDP
01|||00904,Remainder of Jefferson County (part)
01|||00904,Sumiton City (part)
01|||00904,Tarrant City (part)
01|||00904,Trafford Town
01|||00904,Trussville City (part)
01|||00904,Warrior City (part)
01|||00905,Adamsville City (part)
01|||00905,Bessemer City (part)
01|||00905,Birmingham City (part)
01|||00905,Brighton City (part)
01|||00905,Concord CDP
01|||00905,Edgewater CDP
01|||00905,Fairfield City (part)
01|||00905,Helena City (part)
01|||00905,Hoover City (part)
01|||00905,Hueytown City
01|||00905,Jefferson County (part)
01|||00905,Lipscomb City (part)
01|||00905,Maytown Town (part)
01|||00905,McDonald Chapel CDP (part)
01|||00905,Midfield City (part)
01|||00905,Minor CDP
01|||00905,Mulga Town
01|||00905,North Johns Town
01|||00905,Pleasant Grove City
01|||00905,Remainder of Jefferson County (part)
01|||00905,Rock Creek CDP
01|||00905,Sylvan Springs Town
01|||00905,West Jefferson Town
01|||01000,Altoona Town (part)
01|||01000,Attalla City
01|||01000,Boaz City (part)
01|||01000,Etowah County
01|||01000,Gadsden City
01|||01000,Glencoe City (part)
01|||01000,Hokes Bluff City
01|||01000,Mountainboro Town
01|||01000,Rainbow City City
01|||01000,Reece City Town
01|||01000,Remainder of Etowah County
01|||01000,Ridgeville Town
01|||01000,Sardis City Town
01|||01000,Southside City (part)
01|||01000,Walnut Grove Town
01|||01100,Ashland City
01|||01100,Bon Air Town
01|||01100,Cedar Bluff Town
01|||01100,Centre City
01|||01100,Cherokee County
01|||01100,Childersburg City (part)
