Year,Fips,Data
2009,08065,13.8
2009,08067,11.6
2009,08069,14.7
2009,08071,18.5
2009,08073,16.7
2009,08075,17
2009,08077,11.8
2009,08079,10.5
2009,08081,10.1
2009,08083,16.9
2009,08085,12.8
2009,08087,14.4
2009,08089,23.6
2009,08091,8.5
2009,08093,9.1
2009,08095,12.4
2009,08097,6.5
2009,08099,23.1
2009,08101,16.9
2009,08103,7.7
2009,08105,17
2009,08107,6.4
2009,08109,30.1
2009,08111,13.5
2009,08113,10.7
2009,08115,15.5
2009,08117,8.7
2009,08119,8.2
2009,08121,12.1
2009,08123,14.8
2009,08125,13.3
2009,09000,9.3
2009,09001,8.2
2009,09003,10.1
2009,09005,6.5
2009,09007,5.7
2009,09009,11.9
2009,09011,7.9
2009,09013,6.7
2009,09015,9.8
2009,10000,11.2
2009,10001,13.6
2009,10003,10.1
2009,10005,12.2
2009,11000,17.6
2009,11001,17.6
2009,12000,15
2009,12001,23
2009,12003,17.2
2009,12005,14.4
2009,12007,22.5
2009,12009,11.6
2009,12011,13
2009,12013,20.8
2009,12015,12.2
2009,12017,15.8
2009,12019,9.2
2009,12021,12.6
2009,12023,19.1
2009,12027,25.6
2009,12029,23.7
2009,12031,15.3
2009,12033,18.9
2009,12035,11.3
2009,12037,23.1
2009,12039,26
2009,12041,18
2009,12043,21.5
2009,12045,23
2009,12047,28.5
2009,12049,28.4
2009,12051,22.6
2009,12053,13.1
2009,12055,19.9
2009,12057,15.2
2009,12059,24
2009,12061,13.8
2009,12063,22
2009,12065,19.1
2009,12067,24.6
2009,12069,12.6
2009,12071,12.8
2009,12073,22.3
2009,12075,21.8
2009,12077,23.1
2009,12079,26.2
2009,12081,14.4
2009,12083,15.9
2009,12085,13.5
2009,12086,17.7
2009,12087,12.6
2009,12089,11.5
2009,12091,12.5
2009,12093,22.3
2009,12095,14.3
2009,12097,15.8
2009,12099,14.4
2009,12101,13.2
2009,12103,13.3
2009,12105,16.8
2009,12107,25.6
2009,12109,8.7
2009,12111,15.6
2009,12113,11.4
2009,12115,12.7
2009,12117,10.4
2009,12119,15.6
2009,12121,19.7
2009,12123,23.8
2009,12125,26.5
2009,12127,15.2
2009,12129,14.1
2009,12131,15.8
2009,12133,21
2009,13000,16.6
2009,13001,22.8
2009,13003,26.1
2009,13005,22.3
2009,13007,29.2
2009,13009,21.2
2009,13011,16.2
2009,13013,12.2
2009,13015,14.9
2009,13017,26
2009,13019,23
2009,13021,21.8
2009,13023,20.2
2009,13025,19.9
2009,13027,22.3
2009,13029,12.1
2009,13031,26.1
2009,13033,26.9
2009,13035,16.1
2009,13037,33.5
2009,13039,15.2
2009,13043,25.2
2009,13045,17.4
2009,13047,13.1
2009,13049,25.8
2009,13051,16.3
2009,13053,26.5
2009,13055,19.9
2009,13057,8.3
2009,13059,36.3
2009,13061,31.5
2009,13063,16.4
2009,13065,25
2009,13067,11.4
2009,13069,25.9
2009,13071,22
2009,13073,6.8
2009,13075,22
2009,13077,10.1
2009,13079,20.2
2009,13081,31.8
2009,13083,18.3
2009,13085,11.9
2009,13087,25.2
2009,13089,17
2009,13091,23.4
2009,13093,30.1
2009,13095,28
2009,13097,12.3
2009,13099,35.9
2009,13101,27.2
2009,13103,10.9
2009,13105,20.8
2009,13107,26.5
2009,13109,27.9
2009,13111,18.8
2009,13113,5.5
2009,13115,19.8
2009,13117,6.6
2009,13119,20
2009,13121,17.6
2009,13123,20.5
2009,13125,18.5
2009,13127,16.8
2009,13129,17.7
2009,13131,23.8
2009,13133,19.9
2009,13135,13.7
2009,13137,17.7
2009,13139,15.1
2009,13141,31.6
2009,13143,19.2
2009,13145,8.8
2009,13147,19.7
2009,13149,20.4
2009,13151,7.6
2009,13153,13.7
2009,13155,23.3
2009,13157,14.3
2009,13159,15.5
2009,13161,23.8
2009,13163,26.5
2009,13165,28.7
2009,13167,31
2009,13169,13.3
2009,13171,18.8
2009,13173,21.3
2009,13175,22.4
2009,13177,10
2009,13179,17.3
2009,13181,20.9
2009,13183,23
2009,13185,23.6
2009,13187,16.5
2009,13189,20.2
2009,13191,21.2
2009,13193,28.1
2009,13195,18.3
2009,13197,24.7
2009,13199,20
2009,13201,23.6
2009,13205,26.1
2009,13207,13
2009,13209,25.3
2009,13211,15.5
2009,13213,20.6
2009,13215,17.5
2009,13217,12.8
2009,13219,8.4
2009,13221,15.8
2009,13223,7.2
2009,13225,22.5
2009,13227,12
2009,13229,20.2
2009,13231,12.1
2009,13233,22.5
2009,13235,23.2
2009,13237,16.9
2009,13239,26
2009,13241,17.2
2009,13243,24.8
2009,13245,22.6
2009,13247,13.2
2009,13249,18.2
2009,13251,23.6
2009,13253,27.2
2009,13255,20.4
2009,13257,21
2009,13259,26.4
2009,13261,29.8
2009,13263,24.9
2009,13265,31.6
2009,13267,27.6
2009,13269,26.9
2009,13271,33.7
2009,13273,30.2
2009,13275,24.2
2009,13277,27.3
2009,13279,28.8
2009,13281,16.6
2009,13283,31.3
2009,13285,21.2
2009,13287,27.7
2009,13289,23.1
2009,13291,17.7
2009,13293,19.8
2009,13295,17.4
2009,13297,12.5
2009,13299,25
2009,13301,27.4
2009,13303,24.6
2009,13305,23.5
2009,13307,19
2009,13309,40.8
2009,13311,17.7
2009,13313,23.1
2009,13315,30.2
2009,13317,23.2
2009,13319,20.9
2009,13321,20.5
2009,15000,10.4
2009,15001,14.5
2009,15003,9.7
2009,15005,
2009,15007,10.4
2009,15009,10.2
2009,16000,14.4
2009,16001,11.8
2009,16003,14.9
2009,16005,14.5
2009,16007,13
2009,16009,16.3
2009,16011,15.9
2009,16013,8
2009,16015,12.8
2009,16017,15.8
2009,16019,11.9
2009,16021,15.9
2009,16023,14.4
2009,16025,10.3
2009,16027,18.2
2009,16029,10.9
2009,16031,16.3
2009,16033,16.1
2009,16035,16.5
2009,16037,13.4
2009,16039,13.8
2009,16041,10.6
2009,16043,14.9
2009,16045,14.8
2009,16047,16.5
2009,16049,21
